timestamp_sec,joint,angle_diff_deg
14.6,right_knee,12.85
14.633,left_elbow,-13.34
14.633,right_elbow,-146.02
14.633,left_shoulder,-50.74
14.633,right_shoulder,37.58
14.633,left_knee,-44.12
14.633,right_knee,15.82
14.667,left_elbow,-14.72
14.667,right_elbow,-118.97
14.667,left_shoulder,-63.19
14.667,right_shoulder,25.27
14.667,left_knee,-56.05
14.667,right_knee,15.57
14.7,left_elbow,-16.84
14.7,right_elbow,-140.8
14.7,left_shoulder,-74.12
14.7,right_shoulder,-31.91
14.7,left_knee,-26.41
14.7,right_knee,14.66
14.733,left_elbow,-20.56
14.733,right_elbow,-138.9
14.733,left_shoulder,-87.34
14.733,right_shoulder,-55.34
14.733,left_knee,-15.92
14.733,right_knee,11.46
14.767,left_elbow,-32.32
14.767,right_elbow,-143.72
14.767,left_shoulder,-88.43
14.767,right_shoulder,-70.44
14.767,left_knee,-13.42
14.767,right_knee,18.73
14.8,left_elbow,-23.87
14.8,right_elbow,-152.71
14.8,left_shoulder,-94.07
14.8,right_shoulder,-79.01
14.8,left_knee,-7.91
14.8,right_knee,26.01
14.833,left_elbow,-12.18
14.833,right_elbow,-141.47
14.833,left_shoulder,-109.47
14.833,right_shoulder,-85.3
14.833,left_knee,-3.71
14.833,right_knee,11.99
14.867,left_elbow,-18.76
14.867,right_elbow,-159.68
14.867,left_shoulder,-140.35
14.867,right_shoulder,-89.58
14.867,left_knee,3.91
14.867,right_knee,8.23
14.9,left_elbow,-142.91
14.9,right_elbow,-162.35
14.9,left_shoulder,-134.31
14.9,right_shoulder,-109.74
14.9,left_knee,103.3
14.9,right_knee,13.27
15.1,left_elbow,-2.68
15.1,right_elbow,92.53
15.1,left_shoulder,-50.52
15.1,right_shoulder,-100.64
15.1,left_knee,-5.65
15.1,right_knee,-5.2
15.133,left_elbow,-9.57
15.133,right_elbow,77.29
15.133,left_shoulder,28.48
15.133,right_shoulder,-86.05
15.133,left_knee,0.85
15.133,right_knee,13.79
15.167,left_elbow,-8.37
15.167,right_elbow,32.39
15.167,left_shoulder,20.82
15.167,right_shoulder,-69.09
15.167,left_knee,-17.32
15.167,right_knee,5.94
15.2,left_elbow,-14.6
15.2,right_elbow,36.6
15.2,left_shoulder,26.17
15.2,right_shoulder,-45.31
15.2,left_knee,-28.59
15.2,right_knee,6.68
15.233,left_elbow,-14.78
15.233,right_elbow,89.93
15.233,left_shoulder,48.18
15.233,right_shoulder,-19.89
15.233,left_knee,-0.52
15.233,right_knee,15.44
15.267,left_elbow,-12.76
15.267,right_elbow,158.66
15.267,left_shoulder,83.37
15.267,right_shoulder,3.36
15.267,left_knee,20.32
15.267,right_knee,7.67
15.3,left_elbow,-8.75
15.3,right_elbow,31.28
15.3,left_shoulder,102.16
15.3,right_shoulder,26.45
15.3,left_knee,36.51
15.3,right_knee,-34.48
15.333,left_elbow,-7.41
15.333,right_elbow,13.64
15.333,left_shoulder,102.9
15.333,right_shoulder,39.62
15.333,left_knee,15.38
15.333,right_knee,-0.03
15.367,left_elbow,-8.38
15.367,right_elbow,-27.22
15.367,left_shoulder,145.2
